Month,Consumption_KWh,Bill_Amount
2024-09-01,18175,319677
2024-10-01,13492,161071
2024-11-01,17119,224565
2024-12-01,13876,191360
2025-01-01,15312,200064
2025-02-01,16748,208767
2025-03-01,18184,217471
2025-04-01,20478,248368
2025-05-01,18439,235261
2025-06-01,18004,217716
2025-07-01,17607,207449
2025-08-01,17113,204323
